[WARNING] 2025-11-15 13:41:43,525 django.request log 21748 29068 - Not Found: /static/admin/js/admin/RelatedObjectLookups.js
[WARNING] 2025-11-15 13:41:43,527 django.request log 21748 35772 - Not Found: /static/admin/js/actions.js
[WARNING] 2025-11-15 13:41:43,527 django.server basehttp 21748 27412 - "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
[WARNING] 2025-11-15 13:41:43,528 django.server basehttp 21748 29068 - "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 404 179
[WARNING] 2025-11-15 13:41:43,528 django.server basehttp 21748 35480 - "GET /static/admin/js/jquery.init.js HTTP/1.1" 404 179
[WARNING] 2025-11-15 13:41:43,529 django.server basehttp 21748 29492 - "GET /static/admin/js/core.js HTTP/1.1" 404 179
[WARNING] 2025-11-15 13:41:43,536 django.request log 21748 27412 - Not Found: /static/admin/js/urlify.js
[WARNING] 2025-11-15 13:41:43,536 django.server basehttp 21748 35772 - "GET /static/admin/js/actions.js HTTP/1.1" 404 179
[WARNING] 2025-11-15 13:41:43,537 django.request log 21748 29068 - Not Found: /static/admin/js/prepopulate.js
[WARNING] 2025-11-15 13:41:43,538 django.request log 21748 29492 - Not Found: /static/admin/js/vendor/xregexp/xregexp.min.js
[WARNING] 2025-11-15 13:41:43,539 django.request log 21748 35772 - Not Found: /static/admin/img/search.svg
[WARNING] 2025-11-15 13:41:43,539 django.server basehttp 21748 27412 - "GET /static/admin/js/urlify.js HTTP/1.1" 404 179
[WARNING] 2025-11-15 13:41:43,540 django.server basehttp 21748 29068 - "GET /static/admin/js/prepopulate.js HTTP/1.1" 404 179
[WARNING] 2025-11-15 13:41:43,540 django.server basehttp 21748 29492 - "GET /static/admin/js/vendor/xregexp/xregexp.min.js HTTP/1.1" 404 179
[WARNING] 2025-11-15 13:41:43,541 django.server basehttp 21748 35772 - "GET /static/admin/img/search.svg HTTP/1.1" 404 179
[WARNING] 2025-11-15 13:41:43,545 django.request log 21748 35772 - Not Found: /static/admin/js/theme.js
[WARNING] 2025-11-15 13:41:43,546 django.server basehttp 21748 35772 - "GET /static/admin/js/theme.js HTTP/1.1" 404 179
[WARNING] 2025-11-15 13:41:43,551 django.request log 21748 35772 - Not Found: /static/admin/js/nav_sidebar.js
[WARNING] 2025-11-15 13:41:43,551 django.server basehttp 21748 35772 - "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
[WARNING] 2025-11-15 13:41:43,555 django.request log 21748 35772 - Not Found: /static/admin/js/filters.js
